thuat_toan,GPU,thoi_gian_huan_luyen (s),thoi_gian_huan_luyen (m),accuracy,F1_score,recall,precision,thoi_gian_du_doan_1_mau (s),model_size (MB),ngay_thuc_hien
SqueezeNet_Standalone_Augmented,CPU,10394.98,173.25,0.3657,0.3140,0.3657,0.3796,0.003328,8.62,2025-08-28 00:31:23
SqueezeNet_Standalone_Augmented,CPU,6878.84,114.65,0.4746,0.3942,0.4746,0.5481,0.003172,8.62,2025-09-01 01:18:27
