thuat_toan,GPU,thoi_gian_huan_luyen (s),thoi_gian_huan_luyen (m),accuracy,F1_score,recall,precision,thoi_gian_du_doan_1_mau (s),model_size (MB),ngay_thuc_hien
MobileNetV2,CPU,3012.03,50.2,1.0000,1.0000,1.0000,1.0000,0.005735,9.04,2025-08-18 11:46:31
MobileNetV2_Augmented_v2,CPU,7985.18,133.09,0.9892,0.9892,0.9892,0.9893,0.005686,9.27,2025-08-18 16:34:38
MobileNetV2_Augmented_v2,CPU,5240.14,87.34,0.9860,0.9860,0.9860,0.9862,0.005422,9.27,2025-09-01 17:43:50
